card_name,play_to_keep_rate,keep_rate,kept_in_starting_hand,kept_and_played,kept_but_not_played,buy_to_draft_rate,buy_to_draft_1_rate,buy_to_draft_2_rate,buy_to_draft_3_rate,buy_to_draft_4_rate,draft_1_buys,draft_2_buys,draft_3_buys,draft_4_buys,business_contacts_keep_rate,business_network_buy_rate,invention_contest_keep_rate,inventors_guild_buy_rate,draft_1_rate,draft_3_rate,card_buy_through_card_rate
Restricted Area,0.9987,0,788,787,1,0.9319,0.9655,0.907,0.7426,0.716,2157,809,150,58,0.9167,0.8679,0.7237,0.8438,0.7366,0.0666,0.8547
Robotic Workforce,0.9051,0,727,658,69,0.73,0.8553,0.7461,0.6147,0.4808,851,723,367,138,0.6395,0.5812,0.3636,0.623,0.3422,0.2053,0.6025
Rover Construction,0.975,0,320,312,8,0.592,0.7876,0.6647,0.5461,0.4121,330,456,474,211,0.4479,0.513,0.2235,0.5714,0.1385,0.2869,0.5409
Sabotage,1.0,0,783,783,0,0.941,0.9647,0.9548,0.9124,0.8512,1010,1119,646,206,0.7222,0.9245,0.618,0.8818,0.3599,0.2434,0.9028
Satellites,0.8954,0,239,214,25,0.4324,0.6697,0.5459,0.4164,0.2269,296,351,341,182,0.4615,0.4359,0.2603,0.4554,0.1546,0.2865,0.4454
Search For Life,0.8267,0,531,439,92,0.4896,0.8047,0.7077,0.5484,0.2283,272,494,510,274,0.2796,0.3694,0.1585,0.3535,0.1146,0.3154,0.3619
Security Fleet,0.6667,0,3,2,1,0.0548,0.1935,0.1313,0.0976,0.033,6,21,48,57,0.0707,0.0597,0.0395,0.05,0.0107,0.1697,0.0551
SF Memorial,0.9457,0,258,244,14,0.6325,0.8151,0.6958,0.5957,0.4946,238,462,501,231,0.625,0.5664,0.2542,0.5529,0.1219,0.351,0.5606
Shuttles,0.9008,0,252,227,25,0.6566,0.813,0.7587,0.6307,0.4496,400,629,661,290,0.5326,0.7479,0.35,0.7607,0.1656,0.3527,0.7542
Small Animals,0.8221,0,562,462,100,0.7961,0.8805,0.8462,0.7535,0.677,656,974,862,415,0.5862,0.7742,0.4203,0.7288,0.2483,0.3813,0.7521
Soil Factory,0.5714,0,7,4,3,0.1387,0.3288,0.3267,0.1799,0.0779,24,82,140,118,0.1802,0.129,0.0778,0.1818,0.0246,0.2624,0.1538
Solar Power,0.8398,0,181,152,29,0.254,0.4649,0.3866,0.2764,0.1639,53,138,259,168,0.2574,0.2155,0.12,0.2239,0.038,0.3126,0.22
Solar Wind Power,0.9662,0,739,714,25,0.8453,0.9056,0.8657,0.7811,0.6809,892,935,521,160,0.7755,0.7252,0.4884,0.7586,0.3319,0.2247,0.7409
Soletta,0.9393,0,511,480,31,0.1495,0.5141,0.3754,0.1412,0.0552,91,122,84,79,0.1,0.0702,0.0814,0.0631,0.0594,0.1996,0.0667
Space Elevator,0.9664,0,654,632,22,0.6344,0.757,0.6128,0.4385,0.3318,1028,489,189,71,0.6226,0.5036,0.5111,0.5044,0.4533,0.1439,0.504
Space Hotels,0.8863,0,519,460,59,0.6047,0.8185,0.6773,0.4787,0.2879,496,403,259,95,0.5875,0.604,0.2647,0.5773,0.2506,0.2237,0.5909
Space Mirrors,0.8167,0,60,49,11,0.0668,0.5625,0.2469,0.0967,0.0478,9,20,52,97,0.0609,0.0596,0.0635,0.0172,0.0054,0.1802,0.0412
Space Station,0.9609,0,435,418,17,0.6866,0.8369,0.7293,0.6345,0.5092,467,609,540,222,0.5949,0.6727,0.3625,0.7456,0.1854,0.2828,0.7098
Special Design,0.6571,0,105,69,36,0.3383,0.5941,0.5248,0.3619,0.2293,101,265,447,351,0.4,0.2823,0.1918,0.2294,0.0565,0.4102,0.2575
Sponsors,0.9987,0,785,784,1,0.5293,0.8983,0.7241,0.4659,0.2556,371,391,382,193,0.425,0.4434,0.2346,0.3451,0.1362,0.2704,0.3927
Standard Technology,0.9099,0,699,636,63,0.8053,0.89,0.8486,0.7084,0.5836,1011,953,537,185,0.5833,0.7103,0.4156,0.5392,0.3679,0.2455,0.6268
Steelworks,0.838,0,179,150,29,0.161,0.5437,0.3324,0.186,0.0723,87,114,149,115,0.1275,0.1128,0.0851,0.0571,0.0539,0.2699,0.0842
Strip Mine,0.9409,0,575,541,34,0.5351,0.7348,0.5791,0.3503,0.1807,751,388,179,71,0.4271,0.3435,0.1774,0.3889,0.337,0.1685,0.364
Subterranean Reservoir,0.9653,0,606,585,21,0.6266,0.8378,0.7929,0.6174,0.3408,372,624,610,257,0.4519,0.4505,0.2667,0.475,0.1496,0.3329,0.4632
Symbiotic Fungus,0.8431,0,51,43,8,0.2485,0.505,0.4421,0.289,0.1606,51,168,298,260,0.2353,0.252,0.0805,0.2734,0.0336,0.3428,0.2627
Tardigrades,0.9535,0,129,123,6,0.1541,0.4571,0.3193,0.2137,0.1096,16,53,178,216,0.1702,0.1587,0.0909,0.1154,0.0114,0.2725,0.1391
Technology Demonstration,0.9919,0,742,736,6,0.9503,0.9737,0.9455,0.9231,0.8868,1335,1094,516,188,0.8596,0.944,0.5735,0.9286,0.4553,0.1857,0.9372
Tectonic Stress Power,0.7568,0,185,140,45,0.2868,0.5584,0.3813,0.2905,0.1685,110,196,294,151,0.2989,0.1654,0.0909,0.1468,0.0644,0.3306,0.1568
Terraforming Ganymede,0.4502,0,422,190,232,0.4911,0.5935,0.4763,0.2781,0.1728,936,301,99,42,0.5094,0.4545,0.359,0.5047,0.5321,0.1201,0.477
Titanium Mine,1.0,0,789,789,0,0.6097,0.9259,0.7783,0.4855,0.2439,550,467,317,140,0.4946,0.4174,0.321,0.4493,0.1981,0.2178,0.4348
