card_name,total_games_analyzed,total_games_with_card,games_with_prelude,seen_count,drawn_count,played_count,win_rate_overall,elo_gain_overall,win_rate_when_seen,elo_gain_when_seen,win_rate_when_drawn,elo_gain_when_drawn,win_rate_when_bought_during_game,elo_gain_when_bought_during_game,win_rate_when_played,elo_gain_when_played,win_count_overall,win_count_when_seen,win_count_when_drawn,win_count_when_bought_during_game,win_count_when_played,avg_elo_overall,avg_elo_when_seen,avg_elo_when_drawn,avg_elo_when_bought_during_game,avg_elo_when_played,play_to_buy_during_game_rate,play_to_buy_overall_rate,play_to_draw_for_free_rate,play_per_option_rate,play_per_card_in_hand_rate,plays_when_bought_during_game,plays_when_bought_overall,plays_when_drawn_for_free,relative_win_rate_when_seen,relative_win_rate_when_drawn,relative_win_rate_when_bought_during_game,relative_win_rate_when_played,relative_elo_gain_when_seen,relative_elo_gain_when_drawn,relative_elo_gain_when_bought_during_game,relative_elo_gain_when_played,bayesian_win_rate_when_bought_during_game,bayesian_elo_gain_when_bought_during_game,original_win_rate_when_bought_during_game,original_elo_gain_when_bought_during_game,game_count_when_bought_during_game,bayesian_win_rate_when_played,bayesian_elo_gain_when_played,original_win_rate_when_played,original_elo_gain_when_played,game_count_when_played
Caretaker Contract,16707,7165,5829,6931,1453,375,80.3768,1.472,80.2337,1.4517,82.4501,1.841,80.494,1.8901,75.8066,0.7213,5759,5561,1198,239,274,584.6893,583.8749,587.6277,583.5805,588.7413,0.5201,0.5201,0.1905,0.0541,0.2581,155,155,220,-13.93,30.4,-14.58,-157.27,-8.48,30.45,59.1,-125.12,80.494,1.8901,80.2013,2.1275,298,75.8066,0.7213,73.0667,0.2853,374
Cartel,16707,6667,5444,6482,3591,2881,82.3159,1.8508,82.2431,1.8423,85.2409,2.3258,84.1981,2.3049,86.1687,2.51,5488,5331,3061,1512,2493,583.4959,582.5066,582.9794,576.8674,582.5411,0.8999,0.8978,0.6241,0.4445,0.8023,1609,2099,782,26.26,86.22,72.67,112.05,30.58,78.93,85.44,104.11,84.1981,2.3049,84.5638,2.3909,1787,86.1687,2.51,86.5325,2.5776,2880
CEO's Favourite Project,16707,6719,5483,6508,3144,2153,81.5895,1.6572,81.5151,1.6569,83.3015,1.9593,82.509,1.8082,81.252,1.7255,5482,5305,2619,1537,1750,584.4883,583.3483,587.9144,588.9279,583.0478,0.7117,0.7091,0.6464,0.3308,0.6848,1323,1365,788,11.7,47.43,34.98,7.04,12.04,42.28,30.1,20.66,82.509,1.8082,82.6789,1.8375,1858,81.252,1.7255,81.2819,1.7431,2153
Cloud Seeding,16707,6309,5134,6104,1903,834,80.6467,1.469,80.7831,1.4974,81.6605,1.5307,77.3842,1.0406,78.4197,1.1995,5088,4931,1554,475,649,584.4998,583.7208,586.8145,576.4173,583.3333,0.7416,0.731,0.2581,0.1366,0.4383,462,530,304,-2.94,14.61,-93.72,-62.25,-3.91,-0.58,-65.53,-41.78,77.3842,1.0406,76.244,0.8812,622,78.4197,1.1995,77.8177,1.1187,834
Colonizer Training Camp,16707,6653,5489,6462,2621,1809,79.7234,1.3104,79.805,1.3395,80.6562,1.5292,80.1415,1.4558,81.4266,1.6622,5304,5157,2114,892,1474,586.3618,585.466,581.2201,577.2978,581.1996,0.896,0.8963,0.4366,0.2799,0.6902,999,1296,513,-22.5,-5.48,-18.6,11.03,-19.7,-0.73,-9.52,13.96,80.1415,1.4558,80.0,1.4413,1115,81.4266,1.6622,81.4815,1.6761,1808
Comet,16707,7005,5719,6877,5438,4856,82.0128,1.6,82.0416,1.5891,83.1372,1.6839,83.0012,1.5629,83.8778,1.8041,5745,5642,4521,2705,4079,585.6981,585.4676,587.3518,587.3894,588.2545,0.9327,0.9399,0.7609,0.7061,0.893,3035,3771,1085,22.23,44.14,43.97,61.38,5.26,14.74,2.8,27.86,83.0012,1.5629,83.1285,1.5645,3253,83.8778,1.8041,83.9992,1.8151,4855
Commercial District,16707,6401,5252,6182,3401,2702,80.753,1.5585,80.8153,1.5663,81.182,1.5181,80.1514,1.3076,81.0428,1.4581,5169,4996,2761,1353,2190,584.7321,583.7633,582.1991,581.1225,581.3938,0.8657,0.8755,0.6604,0.4371,0.7945,1463,1856,846,-2.3,5.04,-17.42,2.42,2.98,-1.84,-25.6,-8.42,80.1514,1.3076,80.0592,1.2805,1689,81.0428,1.4581,81.0511,1.4523,2701
Convoy From Europa,16707,6815,5567,6661,4596,4170,81.482,1.6855,81.5193,1.6694,82.5283,1.8381,81.6349,1.7874,82.6513,1.8822,5553,5430,3793,2168,3450,583.5545,583.3171,582.1913,576.7807,581.3494,0.9488,0.9558,0.7769,0.626,0.9073,2518,3202,968,11.78,31.96,15.16,36.07,13.29,30.16,26.98,36.23,81.6349,1.7874,81.688,1.8063,2654,82.6513,1.8822,82.7338,1.8988,4170
Corporate Stronghold,16707,6437,5307,6237,2482,1696,81.1558,1.5471,81.3692,1.59,81.1442,1.8489,79.4388,1.7324,80.0559,1.7491,5224,5075,2014,820,1356,587.8656,586.9368,588.7059,587.6728,590.5926,0.8639,0.8786,0.4763,0.2719,0.6833,895,1122,574,8.78,4.28,-35.59,-19.55,5.35,31.24,23.38,23.77,79.4388,1.7324,79.1506,1.7703,1035,80.0559,1.7491,79.9528,1.7742,1696
Cupola City,16707,6634,5466,6424,3929,3247,80.5547,1.5819,80.4639,1.59,81.3948,1.745,80.0723,1.6122,81.313,1.7166,5344,5169,3198,1675,2641,584.1138,583.0047,583.4021,579.6084,584.4198,0.9136,0.9178,0.6225,0.5054,0.8264,1913,2490,757,-9.32,9.29,-18.79,8.13,5.35,20.85,8.29,19.12,80.0723,1.6122,79.9904,1.6194,2094,81.313,1.7166,81.3366,1.7277,3247
Decomposers,16707,7353,5975,7130,5706,5370,81.6537,1.5562,81.7391,1.57,82.7024,1.6528,82.3937,1.6317,82.7264,1.6623,6004,5828,4719,3124,4446,584.3951,583.69,586.1537,586.3725,586.1281,0.9527,0.9538,0.8948,0.7532,0.9411,3609,4273,1097,16.18,35.45,30.82,37.26,3.35,11.63,10.02,13.05,82.3937,1.6317,82.471,1.6367,3787,82.7264,1.6623,82.7933,1.667,5369
Deep Well Heating,16707,6602,5398,6412,3164,2374,80.4453,1.5241,80.3182,1.5165,80.3097,1.5689,77.2805,1.2021,79.7925,1.5471,5311,5150,2541,1155,1892,582.7661,581.8868,578.5095,575.9561,576.6508,0.8737,0.8839,0.5366,0.3702,0.7503,1314,1721,653,-12.24,-12.41,-82.7,-24.67,-2.0,3.24,-37.89,1.15,77.2805,1.2021,76.7952,1.1576,1504,79.7925,1.5471,79.6967,1.548,2374
Deimos Down,16707,6532,5298,6366,5550,4810,83.5119,1.9189,83.5375,1.9215,84.3063,1.9784,83.1642,1.7422,84.8076,2.0775,5455,5318,4679,2857,4087,585.218,584.8937,586.6346,583.1079,587.2495,0.8927,0.8996,0.7659,0.7556,0.8667,3062,3763,1047,52.15,67.52,47.29,80.77,38.5,44.19,21.77,56.35,83.1642,1.7422,83.2945,1.7542,3429,84.8076,2.0775,84.9688,2.1,4810
Designed Microorganisms,16707,7046,5766,6835,3162,2221,81.3653,1.718,81.4923,1.7465,82.4794,2.0136,81.064,1.9726,81.9851,1.8924,5733,5570,2608,1016,1823,584.9892,583.9462,579.3615,573.174,580.3372,0.905,0.9261,0.3491,0.3249,0.7024,1134,1793,428,11.24,30.99,3.11,23.0,21.0,47.71,50.58,38.79,81.064,1.9726,81.0854,2.0423,1252,81.9851,1.8924,82.0801,1.9244,2221
